name,birth_year,death_year,gender,nationality,placeofbirth,placeofdeath
William Bernard Adeney,1878,1966,M,GB,London,London
Peter Alma,1886,1969,M,NL,Medan,Amsterdam
Natan Alt'man,1889,1970,M,RU,Vinnitsa,Saint Petersburg
Cuno Amiet,1868,1961,M,CH,Solothurn,Seeberg
Vassily Kandinsky,1866,1944,M,RU,Moscow,Neuilly-sur-Seine
Kazimir Malevich,1878,1935,M,RU,Kiev,Saint Petersburg
Piet Mondrian,1872,1944,M,NL,Amersfoort,New York
Alexander Archipenko,1887,1964,M,US,Kiev,New York
Hans Arp,1886,1966,M,FR,Strasburg,Basel
Lawrence Atkinson,1873,1931,M,GB,Manchester,Paris
Léon Bakst,1866,1924,M,RU,Hrodna,Paris
Giacomo Balla,1871,1958,M,IT,Turin,Rome
Ernst Barlach,1870,1938,M,DE,Wedel,Rostock
Paul Baum,1859,1932,M,DE,Meissen,San Gimignano
Willi Baumeister,1889,1955,M,DE,Stuttgart,Stuttgart
Max Beckmann,1884,1950,M,DE,Leipzig,New York
Vanessa Bell,1879,1961,F,GB,Kensington,West Sussex
George Wesley Bellows,1882,1925,M,US,"Columbus, Ohio",New York
Vincenc Beneš,1883,1979,M,CZ,Lišice,Prague
Alexandre Benois,1870,1960,M,RU,Saint Petersburg,Paris
Róbert Berény,1887,1953,M,HU,Budapest,Budapest
Hendrik Petrus Berlage,1856,1934,M,NL,Amsterdam,"Hague, The"
Émile Bernard,1868,1941,M,FR,Lille,Paris
Robert Polhill Bevan,1865,1925,M,GB,Hove,London
Albert Bloch,1882,1961,M,US,St. Louis,"Lawrence, Kansas"
Umberto Boccioni,1882,1916,M,IT,Reggio Calabria,Verona
Arnold Böcklin,1827,1901,M,CH,Basel,San Domenico di Fièsole
Oleksandr Bohomazov,1880,1930,M,UA,Yampol,Kiev
David Bomberg,1890,1957,M,GB,Birmingham,London
Pierre Bonnard,1867,1947,M,FR,Fontenay-aux-Roses,Le Cannet
Viktor Borisov-Musatov,1870,1905,M,RU,Saratov,Tarusa
Emile-Antoine Bourdelle,1861,1929,M,FR,Montauban,Le Vésinet
Constantin Brancusi,1876,1957,M,RO,Hobița,Paris
Georges Braque,1882,1963,M,FR,Argenteuil,Paris
Horace Brodzky,1885,1969,M,AU,Melbourne,London
Patrick Henry Bruce,1881,1936,M,US,Campbell,New York
Hans Brühlmann,1878,1911,M,CH,Amriswill,Stuttgart
Jean Brusselmans,1884,1953,M,BE,Brussels,Dilbeek
Max Buri,1868,1915,M,CH,Burgdorf,Interlaken
David Burlyuk,1882,1967,M,UA,Kharkov,Southampton
Vladimir Burlyuk,1887,1917,M,UA,Chernyanka,Greece
Charles Camoin,1879,1965,M,FR,Marseilles,Paris
Heinrich Campendonk,1889,1957,M,DE,Krefeld,Amsterdam
Josef Čapek,1887,1945,M,CZ,Hronov,Lager Bergen Belsen
Arthur Beecher Carles,1882,1952,M,US,Philadelphia,Philadelphia
Carlo Carrà,1881,1966,M,IT,Alessandria,Milan
Eugène Carrière,1849,1906,M,FR,Gournay-sur-Marne,Paris
Felice Casorati,1883,1963,M,IT,Novara,Turin
Paul Cézanne,1839,1906,M,FR,Aix-en-Provence,Aix-en-Provence
