a.name,e.latitude,e.longitude,e.city,e.type,e.startdate,e.venue
Vassily Kandinsky,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Alexander Archipenko,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
George Wesley Bellows,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Pierre Bonnard,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Emile-Antoine Bourdelle,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Constantin Brancusi,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Georges Braque,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Charles Camoin,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Arthur Beecher Carles,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Paul Cézanne,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Auguste-Elysée Chabaud,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Charles Conder,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Henri Edmond Cross,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Arthur Bowen Davies,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Maurice Denis,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
André Derain,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Georges-Olivier Desvallières,41.85,-87.65,Chicago,group,1905,Trustees of the Art Institute of Chicago
Maurice de Vlaminck,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Henri Doucet,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Guy Pène Du Bois,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Marcel Duchamp,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Raymond Duchamp-Villon,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Raoul Dufy,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
André Dunoyer de Segonzac,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Othon Friesz,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Paul Gauguin,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Pierre Paul Girieud,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
William James Glackens,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Albert Gleizes,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Robert Henri,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
Ferdinand Hodler,41.85,-87.65,Chicago,group,1913,The Art Institute of Chicago
