a.name,e.latitude,e.longitude,e.city,e.type,e.startdate,e.venue
Georges-Olivier Desvallières,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Albert Besnard,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Charles Cottet,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Gaston de Latouche,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Lucien Simon,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
René François Xavier Prinet,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Jean-François Raffaëlli,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Edmond Aman-Jean,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Auguste Lepère,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Alfred Roll,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Bernard Boutet de Monvel,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Andre Dauchez,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
René Ménard,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Henri Courselles-Dumont,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Charles-Jules Duvent,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Henri Le Sidaner,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Antonin Mercié,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Edouard Saglio,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Frédéric Anselme Lottin,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
Auguste Emmanuel Pointelin,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
André Ulmann,39.15,-84.45,Cincinnati,group,1905,Cincinnati Museum
