a.name,e.latitude,e.longitude,e.city,e.type,e.startdate,e.venue
Cuno Amiet,51.05,13.75,Dresden,group,1910,Galerie Ernst Arnold
Vassily Kandinsky,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Albert Bloch,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Heinrich Campendonk,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Adolf Erbslöh,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Max Ernst,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Lyonel Feininger,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Erich Heckel,51.05,13.75,Dresden,group,1910,Galerie Ernst Arnold
Erich Heckel,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Alexei Jawlensky,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Alexander Kanoldt,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Ernst Ludwig Kirchner,51.05,13.75,Dresden,group,1910,Galerie Ernst Arnold
Ernst Ludwig Kirchner,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Moïse Kisling,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Paul Klee,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Oskar Kokoschka,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
August Macke,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Franz Marc,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Aleksandr Pavlovič Mogilevskij,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Oskar Moll,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Otto Mueller,51.05,13.75,Dresden,group,1910,Galerie Ernst Arnold
Edvard Munch,51.05,13.75,Dresden,group,1906,Sächsischer Kunstverein
Edvard Munch,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude des Sächsischen Kunstvereins
Gabriele Münter,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Heinrich Nauen,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Emil Nolde,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Max Pechstein,51.05,13.75,Dresden,group,1910,Galerie Ernst Arnold
Max Pechstein,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Christian Rohlfs,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Egon Schiele,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Karl Schmidt-Rottluff,51.05,13.75,Dresden,group,1910,Galerie Ernst Arnold
Karl Schmidt-Rottluff,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Vincent van Gogh,51.05,13.75,Dresden,solo,1912,Galerie Ernst Arnold
Marianne Werefkin,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
