a.name,e.latitude,e.longitude,e.city,e.type,e.startdate,e.venue
Vassily Kandinsky,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Vassily Kandinsky,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Vassily Kandinsky,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Alexander Archipenko,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Alexander Archipenko,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Alexander Archipenko,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
George Wesley Bellows,40.7,-74,New York,group,1913,Montross Gallery
George Wesley Bellows,40.7,-74,New York,group,1913,Armory of the 69th Infantry
George Wesley Bellows,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
George Wesley Bellows,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Arnold Böcklin,40.7,-74,New York,group,1909,Metropolitan Museum of Art
Pierre Bonnard,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Pierre Bonnard,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Pierre Bonnard,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Emile-Antoine Bourdelle,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Emile-Antoine Bourdelle,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Emile-Antoine Bourdelle,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Constantin Brancusi,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Georges Braque,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Georges Braque,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Georges Braque,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Patrick Henry Bruce,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Patrick Henry Bruce,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Charles Camoin,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Charles Camoin,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Charles Camoin,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Arthur Beecher Carles,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Arthur Beecher Carles,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Arthur Beecher Carles,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Paul Cézanne,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Paul Cézanne,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Paul Cézanne,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Auguste-Elysée Chabaud,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Auguste-Elysée Chabaud,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Auguste-Elysée Chabaud,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Charles Conder,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Charles Conder,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Charles Conder,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Gustave Courbet,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Gustave Courbet,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Henri Edmond Cross,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Henri Edmond Cross,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Henri Edmond Cross,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Arthur Bowen Davies,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Arthur Bowen Davies,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Arthur Bowen Davies,40.7,-74,New York,group,1908,Macbeth Galleries
Arthur Bowen Davies,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Stuart Davis,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Stuart Davis,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Edgar Degas,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Edgar Degas,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Robert Delaunay,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Robert Delaunay,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Maurice Denis,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Maurice Denis,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Maurice Denis,40.7,-74,New York,group,1913,Armory of the 69th Infantry
André Derain,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
André Derain,40.7,-74,New York,group,1913,Armory of the 69th Infantry
André Derain,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Maurice de Vlaminck,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Maurice de Vlaminck,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Maurice de Vlaminck,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Karl Edvard Diriks,40.7,-74,New York,group,1912,American Art Galleries
Karl Edvard Diriks,40.7,-74,New York,group,1912,The American Scandinavian Society
Karl Edvard Diriks,40.7,-74,New York,group,1912,American-Scandinavian Foundation
Henri Doucet,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Henri Doucet,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Henri Doucet,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Guy Pène Du Bois,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Guy Pène Du Bois,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Guy Pène Du Bois,40.7,-74,New York,group,1913,Montross Gallery
Guy Pène Du Bois,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Marcel Duchamp,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Marcel Duchamp,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Marcel Duchamp,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Raymond Duchamp-Villon,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Raymond Duchamp-Villon,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Raymond Duchamp-Villon,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Raoul Dufy,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Raoul Dufy,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Raoul Dufy,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
André Dunoyer de Segonzac,40.7,-74,New York,group,1913,Armory of the 69th Infantry
André Dunoyer de Segonzac,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
André Dunoyer de Segonzac,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Thorvald Erichsen,40.7,-74,New York,group,1912,American Art Galleries
Thorvald Erichsen,40.7,-74,New York,group,1912,The American Scandinavian Society
Thorvald Erichsen,40.7,-74,New York,group,1912,American-Scandinavian Foundation
Bernhard Dorotheus Folkestad,40.7,-74,New York,group,1912,American Art Galleries
Bernhard Dorotheus Folkestad,40.7,-74,New York,group,1912,The American Scandinavian Society
Bernhard Dorotheus Folkestad,40.7,-74,New York,group,1912,American-Scandinavian Foundation
Othon Friesz,40.7,-74,New York,group,1913,Armory of the 69th Infantry
Othon Friesz,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Othon Friesz,40.7,-74,New York,group,1913,Association of American Painters and Sculptors
Paul Gauguin,40.7,-74,New York,group,1913,Armory of the 69th Infantry
