a.name,e.latitude,e.longitude,e.city,e.type,e.startdate,e.venue
George Wesley Bellows,40.4333,-79.9833,Pittsburgh,group,1910,Carnegie Institute
George Wesley Bellows,40.4333,-79.9833,Pittsburgh,group,1912,Carnegie Institute
George Wesley Bellows,40.4333,-79.9833,Pittsburgh,group,1913,Carnegie Institute
George Wesley Bellows,40.4333,-79.9833,Pittsburgh,group,1914,Carnegie Institute
Eugène Carrière,40.4333,-79.9833,Pittsburgh,group,1912,Carnegie Institute
Walter Crane,40.4333,-79.9833,Pittsburgh,group,1905,Carnegie Institute
Arthur Bowen Davies,40.4333,-79.9833,Pittsburgh,group,1913,Carnegie Institute
Georges-Olivier Desvallières,40.4333,-79.9833,Pittsburgh,group,1912,Carnegie Institute
William James Glackens,40.4333,-79.9833,Pittsburgh,group,1905,Carnegie Institute
Robert Henri,40.4333,-79.9833,Pittsburgh,group,1910,Carnegie Institute
Robert Henri,40.4333,-79.9833,Pittsburgh,group,1911,Carnegie Institute
Robert Henri,40.4333,-79.9833,Pittsburgh,group,1905,Carnegie Institute
Robert Henri,40.4333,-79.9833,Pittsburgh,group,1912,Carnegie Institute
Robert Henri,40.4333,-79.9833,Pittsburgh,group,1913,Carnegie Institute
Robert Henri,40.4333,-79.9833,Pittsburgh,group,1914,Carnegie Institute
Augustus John,40.4333,-79.9833,Pittsburgh,group,1910,Carnegie Institute
Ernest Lawson,40.4333,-79.9833,Pittsburgh,group,1911,Carnegie Institute
Ernest Lawson,40.4333,-79.9833,Pittsburgh,group,1905,Carnegie Institute
Ernest Lawson,40.4333,-79.9833,Pittsburgh,group,1912,Carnegie Institute
Ernest Lawson,40.4333,-79.9833,Pittsburgh,group,1913,Carnegie Institute
Ernest Lawson,40.4333,-79.9833,Pittsburgh,group,1914,Carnegie Institute
George Benjamin Luks,40.4333,-79.9833,Pittsburgh,group,1905,Carnegie Institute
Alfred Henry Maurer,40.4333,-79.9833,Pittsburgh,group,1905,Carnegie Institute
Claude Monet,40.4333,-79.9833,Pittsburgh,group,1912,Carnegie Institute
Claude Monet,40.4333,-79.9833,Pittsburgh,group,1913,Carnegie Institute
Claude Monet,40.4333,-79.9833,Pittsburgh,group,1914,Carnegie Institute
Claude Monet,40.4333,-79.9833,Pittsburgh,group,1910,Carnegie Institute
Claude Monet,40.4333,-79.9833,Pittsburgh,group,1911,Carnegie Institute
Jan Preisler,40.4333,-79.9833,Pittsburgh,group,1914,Carnegie Institute
Leo Putz,40.4333,-79.9833,Pittsburgh,group,1914,Carnegie Institute
Pierre-Auguste Renoir,40.4333,-79.9833,Pittsburgh,group,1910,Carnegie Institute
Pierre-Auguste Renoir,40.4333,-79.9833,Pittsburgh,group,1912,Carnegie Institute
Pierre-Auguste Renoir,40.4333,-79.9833,Pittsburgh,group,1913,Carnegie Institute
John Sloan,40.4333,-79.9833,Pittsburgh,group,1911,Carnegie Institute
John Sloan,40.4333,-79.9833,Pittsburgh,group,1905,Carnegie Institute
John Sloan,40.4333,-79.9833,Pittsburgh,group,1913,Carnegie Institute
John Henry Twachtman,40.4333,-79.9833,Pittsburgh,group,1911,Carnegie Institute
John Henry Twachtman,40.4333,-79.9833,Pittsburgh,group,1910,Carnegie Institute
Franz von Stuck,40.4333,-79.9833,Pittsburgh,group,1905,Carnegie Institute
Franz von Stuck,40.4333,-79.9833,Pittsburgh,group,1912,Carnegie Institute
Franz von Stuck,40.4333,-79.9833,Pittsburgh,group,1913,Carnegie Institute
Franz von Stuck,40.4333,-79.9833,Pittsburgh,group,1914,Carnegie Institute
Anders Zorn,40.4333,-79.9833,Pittsburgh,group,1912,Carnegie Institute
Hans Borchardt,40.4333,-79.9833,Pittsburgh,group,1910,Carnegie Institute
